Current time,2023-04-11 16:30:01
map name,time_cost | distance | timestamp | timestamp_local
path0_map0,"[0.8482166466587382, 145.56427001953125, 1628441543, '2021-08-08 18:52:23']"
path0_map1,"[0.15115764109454716, 145.58059692382812, 1628446944, '2021-08-08 20:22:24']"
path0_map2,"[0.23621406286738583, 145.62979125976562, 1629062420, '2021-08-15 23:20:20']"
path0_map3,"[0.04307993842404695, 138.40243530273438, 1628443562, '2021-08-08 19:26:02']"
path0_map4,"[0.9874942317889245, 145.6076202392578, 1628445730, '2021-08-08 20:02:10']"
path0_map5,"[0.7843416378841005, 145.60157775878906, 1628446155, '2021-08-08 20:09:15']"
path0_map6,"[0.15419016125075674, 145.58544921875, 1628447864, '2021-08-08 20:37:44']"
path0_map7,"[0.9097838511542935, 145.6717987060547, 1628448852, '2021-08-08 20:54:12']"
path0_map8,"[0.11065087475891028, 145.57838439941406, 1628450613, '2021-08-08 21:23:33']"
path0_map9,"[0.048487972650735844, 145.60963439941406, 1628451256, '2021-08-08 21:34:16']"
path0_map10,"[0.898045671115099, 135.36532592773438, 1629061574, '2021-08-15 23:06:14']"
path0_map11,"[0.6180668295873964, 4402.69287109375, 1629061965, '2021-08-15 23:12:45']"
path0_map12,"[0.7608141822405616, 145.6156768798828, 1628452216, '2021-08-08 21:50:16']"
path0_map13,"[0.9666601726672663, 139.42051696777344, 1628456612, '2021-08-08 23:03:32']"
path0_map15,"[0.37699488965316286, 145.57032775878906, 1630772244, '2021-09-04 18:17:24']"
path0_map16,"[0.06041857646568877, 145.61265563964844, 1630772717, '2021-09-04 18:25:17']"
path0_map17,"[0.5647572884539881, 145.61265563964844, 1630773976, '2021-09-04 18:46:16']"
path0_map18,"[0.14804505737935408, 145.62777709960938, 1630779749, '2021-09-04 20:22:29']"
path0_map19,"[0.13816416982916407, 145.5975341796875, 1630780638, '2021-09-04 20:37:18']"
path0_map20,"[0.03153706901537351, 145.57846069335938, 1632576397, '2021-09-25 15:26:37']"
path0_map21,"[0.05191752768353508, 145.61668395996094, 1632576865, '2021-09-25 15:34:25']"
path0_map22,"[0.9777462575233871, 144.622802734375, 1632578230, '2021-09-25 15:57:10']"
path0_map23,"[0.4214247248259556, 145.70237731933594, 1632593792, '2021-09-25 20:16:32']"
path0_map24,"[0.027122809376776302, 144.6268310546875, 1632594412, '2021-09-25 20:26:52']"
